Time, Rotation Rate (X), Rotation Rate (Y), Rotation Rate (Z)
1643940060.67357,0.0995092764496803,-0.0284257829189301,-0.0448146089911461
1643940060.70691,-0.00339180184528232,0.0111711621284485,-0.0773642957210541
1643940060.74024,0.0959004312753677,-0.0364991538226604,-0.0573937855660915
1643940060.77357,0.339899241924286,-0.0686227381229401,0.0275815594941378
1643940060.80691,0.290085881948471,0.0276617221534252,0.0184639617800713
1643940060.84022,0.225272804498672,-0.0584121756255627,0.0189601089805365
1643940060.87358,0.218983486294746,-0.0613917224109173,0.0111623732373118
1643940060.90691,0.167814835906029,0.0951747223734856,0.0349803529679775
1643940060.94024,0.00414015026763082,0.0445046164095402,0.029795179143548
1643940060.97261,0.0374110229313374,-0.0912191271781921,-0.00559343723580241
1643940061.00601,-0.00876233261078596,0.142343834042549,-0.0519177913665771
1643940061.04024,-0.0696184933185577,0.259603887796402,-0.0579852722585201
1643940061.07357,-0.0183907244354486,-0.01355389226228,-0.0113996611908078
1643940061.1069,-0.0672152563929558,-0.120801255106926,0.0352344214916229
1643940061.13936,-0.0672152563929558,-0.120801255106926,0.0352344214916229
1643940061.17269,-0.140603989362717,-0.121297933161259,0.0312604494392872
1643940061.206,-0.121904596686363,-0.197410017251968,0.0158290304243565
1643940061.23937,-0.121904596686363,-0.197410017251968,0.0158290304243565
1643940061.27273,-0.0870038717985153,-0.0793049409985542,0.0257501043379307
1643940061.30609,0.0506293550133705,-0.122645489871502,-0.0136654786765575
1643940061.33949,0.0506293550133705,-0.122645489871502,-0.0136654786765575
1643940061.37288,0.0516837015748024,-0.184134945273399,0.0163981486111879
1643940061.40617,0.0578483864665031,-0.170520335435867,0.0466311499476433
1643940061.43959,0.0401170589029789,-0.160458385944366,0.0449043586850166
1643940061.47291,-0.00526959681883454,-0.163215026259422,0.014788000844419
1643940061.50626,0.0191473290324211,-0.181901887059212,0.0044259075075388
1643940061.53963,0.0655989870429039,-0.226608112454414,0.0791478157043457
1643940061.57298,0.0252451691776514,-0.169207394123077,0.0517588034272194
1643940061.60634,-0.0110286828130484,-0.235905736684799,0.0374006368219852
1643940061.63988,-0.0311672408133745,-0.287923127412796,0.0433991402387619
1643940061.67312,-0.0498170927166939,-0.255807816982269,0.0321099981665611
1643940061.70643,0.044022586196661,-0.218255907297134,0.00274864863604307
1643940061.73986,0.0354772992432117,-0.209124192595482,-0.0311701688915491
1643940061.77316,-0.0112899383530021,-0.299706548452377,0.0167627353221178
1643940061.80651,-0.0193372126668692,-0.287893295288086,0.0185885988175869
1643940061.8399,-0.0813734158873558,-0.189833849668503,-0.00319952168501914
1643940061.87326,-0.0898233652114868,-0.227446466684341,0.0180591624230146
1643940061.90661,-0.000535029044840485,-0.330749154090881,0.0525761246681213
1643940061.93996,0.0659595727920532,-0.256265074014664,0.0518778450787067
1643940061.97334,0.0295240692794323,-0.169876649975777,0.00639851065352559
1643940062.00668,-0.0126894302666187,-0.241988390684128,-0.00841319188475609
1643940062.04004,-0.0717423632740974,-0.282892405986786,0.0186487846076488
1643940062.07342,-0.0409258604049683,-0.264723807573318,0.0571860559284687
1643940062.10679,0.00752263097092509,-0.26798352599144,0.0425700955092907
1643940062.1402,-0.0248784516006708,-0.227529555559158,-0.00222320691682398
1643940062.17356,-0.0266457255929708,-0.261511772871017,0.00974690355360508
1643940062.20685,-0.0208395011723042,-0.304163634777069,0.0217966418713331
1643940062.24021,0.00533084943890572,-0.307613760232925,0.0332293249666691
1643940062.2736,0.0672070011496544,-0.239955872297287,-0.00862571224570274
1643940062.30694,-0.00274971383623779,-0.185996234416962,-0.031680166721344
1643940062.34025,-0.0142849292606115,-0.289092510938644,0.00938151776790619
1643940062.37358,0.0527905113995075,-0.309314966201782,0.0460806749761105
1643940062.40692,0.0552286356687546,-0.222748920321465,0.0507452040910721
1643940062.44026,0.00736896647140384,-0.199240937829018,0.0474167838692665
1643940062.47359,0.063292421400547,-0.259694427251816,0.0654125586152077
1643940062.50692,0.00564297195523977,-0.300957977771759,0.09706050157547
1643940062.54025,-0.0918380469083786,-0.173533707857132,0.0312471352517605
1643940062.57358,0.0189587771892548,-0.211719170212746,-0.00819694343954325
