Torque,Biceps,Triceps,Envelope
-2.15849,2.96021E-05,6.31714E-05,-3.06219
-2.07704,3.8147E-05,5.31006E-05,-3.05863
-2.22637,2.53296E-05,5.70679E-05,-3.05504
-2.11777,3.66211E-05,6.46973E-05,-3.05143
-1.78517,2.56348E-05,6.01196E-05,-3.04778
-1.78517,2.62451E-05,6.2561E-05,-3.04411
-1.79875,3.41797E-05,6.13403E-05,-3.04042
-1.81232,3.05176E-05,6.50024E-05,-3.03669
-2.00238,3.87573E-05,6.19507E-05,-3.03294
-2.03632,3.69263E-05,6.43921E-05,-3.02916
-2.20601,3.23486E-05,5.21851E-05,-3.02535
-2.19243,4.76074E-05,6.22559E-05,-3.02151
-2.13813,3.14331E-05,5.0354E-05,-3.01765
-1.86662,3.69263E-05,5.34058E-05,-3.01376
-1.96165,3.38745E-05,4.63867E-05,-3.00985
-1.81232,3.14331E-05,5.67627E-05,-3.0059
-1.81232,2.80762E-05,6.89697E-05,-3.00193
-1.92771,3.78418E-05,6.04248E-05,-2.99793
-2.17207,2.96021E-05,6.83594E-05,-2.9939
-2.01595,3.08228E-05,6.68335E-05,-2.98985
-2.04989,3.05176E-05,6.31714E-05,-2.98577
-2.17207,3.26538E-05,6.83594E-05,-2.98166
-2.12456,3.479E-05,8.11768E-05,-2.97753
-1.77838,2.96021E-05,8.02612E-05,-2.97337
-1.83947,3.44849E-05,7.32422E-05,-2.96918
-1.83947,3.57056E-05,6.19507E-05,-2.96496
-1.72408,3.44849E-05,7.01904E-05,-2.96072
-1.83268,3.17383E-05,6.01196E-05,-2.95645
-2.24673,3.8147E-05,5.67627E-05,-2.95216
-2.09062,3.02124E-05,6.073E-05,-2.94784
-2.10419,2.68555E-05,6.10352E-05,-2.94349
-2.13813,3.38745E-05,5.5542E-05,-2.93912
-1.94807,3.72314E-05,5.37109E-05,-2.93472
-1.87341,4.88281E-05,5.85937E-05,-2.9303
-1.83268,3.54004E-05,5.64575E-05,-2.92585
-1.85983,3.63159E-05,5.88989E-05,-2.92138
-1.86662,4.42505E-05,6.10352E-05,-2.91688
-1.85983,4.30298E-05,5.61523E-05,-2.91236
-1.99559,3.63159E-05,6.5918E-05,-2.90781
-2.38249,3.8147E-05,6.43921E-05,-2.90324
-2.04989,3.78418E-05,6.2561E-05,-2.89864
-2.17207,3.20435E-05,6.74438E-05,-2.89402
-1.95486,3.2959E-05,6.83594E-05,-2.88938
-1.67657,2.65503E-05,5.31006E-05,-2.88471
-1.85983,2.44141E-05,5.82886E-05,-2.88002
-1.81911,3.54004E-05,5.34058E-05,-2.87531
-1.92771,3.2959E-05,5.49316E-05,-2.87058
-1.99559,3.87573E-05,5.64575E-05,-2.86582
-2.00916,2.62451E-05,5.27954E-05,-2.86104
-2.07025,3.11279E-05,5.49316E-05,-2.85624
-2.44358,3.84521E-05,6.073E-05,-2.85141
-2.15171,4.21143E-05,6.83594E-05,-2.84657
-1.89377,3.2959E-05,6.50024E-05,-2.8417
-1.84626,3.02124E-05,7.01904E-05,-2.83681
-1.81232,2.62451E-05,6.98853E-05,-2.83191
-1.81232,2.86865E-05,7.08008E-05,-2.82698
-1.79875,3.20435E-05,6.19507E-05,-2.82203
-2.07704,2.92969E-05,5.67627E-05,-2.81707
-2.05668,3.84521E-05,6.31714E-05,-2.81208
-2.00238,3.54004E-05,6.16455E-05,-2.80707
-2.13134,3.14331E-05,5.5542E-05,-2.80205
-2.31461,3.44849E-05,5.85937E-05,-2.79701
-1.83947,2.53296E-05,5.7373E-05,-2.79195
-1.84626,2.50244E-05,5.79834E-05,-2.78687
-1.92092,3.54004E-05,5.82886E-05,-2.78178
-1.99559,3.57056E-05,5.18799E-05,-2.77667
-1.83268,3.2959E-05,6.37817E-05,-2.77154
-2.03632,3.50952E-05,6.89697E-05,-2.7664
-2.10419,3.32642E-05,6.31714E-05,-2.76124
